link_id,record_id,cluster_id,paper_id,doi,entity_id,entity_type,molecule_id,preferred_name,matched_alias,match_start,match_end,match_basis,link_confidence,link_scope,ambiguity_status,link_status,resolved_canonical_smiles,resolved_inchikey,resolved_molecular_formula,identity_resolution_tier,identity_resolution_status,identity_resolution_source
ELINK-3c8b2f3d84bd0cb025,UKB-745613977607fa7c7014,,ZPC-000385,10.1166/jnn.2013.6011,MOL-368275596029,existing_molecule,MOL-368275596029,BNMBC,BNMBC,326,331,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-10078b87ff81127d45,UKB-745613977607fa7c7014,,ZPC-000385,10.1166/jnn.2013.6011,MOL-9843439b053e,existing_molecule,MOL-9843439b053e,BNBC,BNBC,408,412,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-aec20b8558bc716b4e,UKB-745613977607fa7c7014,,ZPC-000385,10.1166/jnn.2013.6011,MOL-9843439b053e,existing_molecule,MOL-9843439b053e,BNBC,BNBC,60,64,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-2ee426b9178fb726a3,UKB-74a6e3ce9b0605065c65,CONDCL-5b1736d864a7ebd731,ZPC-003789,10.1039/d5py00199d,MOL-23bd7179f4c3,existing_molecule,MOL-23bd7179f4c3,BAPO,BAPO,306,310,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-5dcd258d05de28bd4e,UKB-74e97811337406df536f,CONDCL-4bc8f4965377e12adf,ZPC-005323,10.1002/polb.24891,MOL-8bf2bb5cafb8,existing_molecule,MOL-8bf2bb5cafb8,BDAPT,BDAPT,147,152,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-6c46f715a5c25e2261,UKB-7545cc2401c63559e804,,ZPC-005497,10.1016/j.progpolymsci.2020.101277,SRCENT-adbaaf2183a501cf1e,source_local_unresolved,,camphorquinone,camphorquinone,273,287,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem
ELINK-b769ff4e2496aa69d2,UKB-7545cc2401c63559e804,,ZPC-005497,10.1016/j.progpolymsci.2020.101277,SRCENT-ff6e693086a48c5b4a,source_local_unresolved,,thioxanthone,thioxanthone,251,263,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=c1c2ccccc2sc2ccccc12,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,C13H8OS,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem
ELINK-99839043dd569d1f93,UKB-758304b7c2ea08fd1649,CONDCL-a9b00a43432caa662c,OA2P-000445,10.2494/photopolymer.14.657,SRCENT-88c1b164b46ca28a6c,source_local_unresolved,,PI 10,PI 10,85,98,source_local_PI_label_pattern,source_local_label_candidate,single_source_only,identity_unresolved,unresolved_entity_link,,,,,,
ELINK-23ff7341796e577968,UKB-75d301043f7f1167aa7c,CONDCL-904dbda667b932bb09,ZPC-002625,10.1021/ma5006793,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,252,257,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-0aafcb9f7bd830c5d2,UKB-75d301043f7f1167aa7c,CONDCL-904dbda667b932bb09,ZPC-002625,10.1021/ma5006793,MOL-29e7e7bf910a,existing_molecule,MOL-29e7e7bf910a,TMPTA,TMPTA,321,326,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
