alias_id,molecule_id,preferred_name,alias,normalized_alias,match_scope,source_dois,source_ids,molecule_role,identity_status,identity_scope,smiles,stored_inchikey,computed_inchikey,structure_validation,case_sensitive,alias_status
ALIAS-7f39928d719033211a,MOL-e8ae781911fd,P3K,P3K,p3k,source_scoped,10.1021/ma9007785,ZPC-000028; zotero_XAY2YYCX,photoinitiator_or_photosensitizer,structured_pi_label,source_scoped,,,,not_available,true,eligible_exact_alias
ALIAS-8f1feb227d324c1f8c,MOL-e904186b1cdd,1:1 equiv. functional groups,1:1 equiv. functional groups,11equivfunctionalgroups,global_exact_name,10.2494/photopolymer.32.257,zotero_LVN4MHDD,photoinitiator_or_photosensitizer,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-6011c84e7bbd4369c0,MOL-ecafd58916c0,Darocur 4265,Darocur 4265,darocur4265,global_exact_name,10.1364/ome.5.000456,Harnisch2015,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-97b2c5d2bcb4b69453,MOL-ecd478f860ee,Lucirin TPO-L / LTPO-L,Lucirin TPO-L / LTPO-L,lucirintpolltpol,global_exact_name,10.1016/j.polymer.2017.04.039,ZPC-000583,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-44e327d60bca8cf4a5,MOL-ecd478f860ee,Lucirin TPO-L / LTPO-L,Lucirin TPO-L,lucirintpol,global_exact_name,10.1016/j.polymer.2017.04.039,ZPC-000583,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-6cc52ac184023ab155,MOL-ecd478f860ee,Lucirin TPO-L / LTPO-L,LTPO-L,ltpol,global_exact_name,10.1016/j.polymer.2017.04.039,ZPC-000583,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-872fddcef27cb99713,MOL-ecd478f860ee,Lucirin TPO-L / LTPO-L,TPO-L,tpol,global_exact_name,10.1016/j.polymer.2017.04.039,ZPC-000583,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-1bf2ca473c3a003113,MOL-efa47c5e3ca3,BFC,BFC,bfc,source_scoped,10.1021/acsapm.4c00932,zotero_PJQEIM6F,photoinitiator_or_photosensitizer,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-f88b1985f7d5c0116a,MOL-efb4c0896d99,PI 2.56 wt %,PI 2.56 wt %,pi256wt,source_scoped,10.1115/1.4000097,zotero_INAWB8HL,unresolved_formulation_component,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-8af5cbb5209f5a46e0,MOL-f377db100e13,DABP,DABP,dabp,global_exact_name,10.1021/la803803m;10.1038/17989,zotero_6ZQ3VP63; zotero_H86SV53N,photoinitiator_or_photosensitizer,formulation_identity,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-6cc743a6538a4212fc,MOL-f69aeccf5cea,AM,AM,am,source_scoped,10.1016/j.jphotochem.2009.02.007,zotero_MZLGYQTP,resin_or_matrix,formulation_identity,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-6efed16720ecb66e88,MOL-f99610edcff3,Epotek-301 host-guest system,Epotek-301 host-guest system,epotek301hostguestsystem,global_exact_name,10.1364/oe.6.000064,zotero_RK5TXPZ5,photoinitiator_or_photosensitizer,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-73546120f328a6be60,MOL-fb122cf2977b,MDEA,MDEA,mdea,global_exact_name,10.1021/acsapm.4c00932;10.1039/d2tc00331g;10.37188/lam.2023.004,zotero_AU74BQZ6; zotero_PJQEIM6F; zotero_V8BAREKK,coinitiator_or_h_donor,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-c30a7fb84c1bd68e37,MOL-fc4b05aff974,2-benzyl-2-dimethylamino-1-(4-morpholinophenyl)butanone-1 (Irgacure 369,2-benzyl-2-dimethylamino-1-(4-morpholinophenyl)butanone-1 (Irgacure 369,2benzyl2dimethylamino14morpholinophenylbutanone1irgacure369,global_exact_name,10.1002/adfm.200400212,zotero_TSTS6L69,photoinitiator_or_photosensitizer,explicit_field,global_name_key,,,,not_available,false,eligible_exact_alias
